product_id,product_name,category,sub_category,total_transactions,quantity_sold,total_revenue,total_profit,average_discount,profit_margin
FUR-ADV-10000002,"Advantus Photo Frame, Duo Pack",Furniture,Furnishings,2,3,159.00,60.39,0.00,37.98
FUR-ADV-10000108,"Advantus Clock, Erganomic",Furniture,Furnishings,3,7,350.00,3.36,0.00,0.96
FUR-ADV-10000183,"Advantus Photo Frame, Black",Furniture,Furnishings,8,31,975.00,-651.74,0.38,-66.85
FUR-ADV-10000188,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,5,7,125.00,4.20,0.40,3.36
FUR-ADV-10000190,"Advantus Frame, Duo Pack",Furniture,Furnishings,1,2,222.00,104.46,0.00,47.05
FUR-ADV-10000571,"Advantus Frame, Erganomic",Furniture,Furnishings,8,20,2195.00,702.00,0.00,31.98
FUR-ADV-10000600,"Advantus Clock, Duo Pack",Furniture,Furnishings,2,4,206.00,24.60,0.00,11.94
FUR-ADV-10000847,"Advantus Stacking Tray, Black",Furniture,Furnishings,5,11,290.00,81.18,0.00,27.99
FUR-ADV-10001283,"Advantus Frame, Black",Furniture,Furnishings,2,3,178.00,-88.97,0.50,-49.98
FUR-ADV-10001440,"Advantus Door Stop, Black",Furniture,Furnishings,7,22,959.00,176.38,0.14,18.39
FUR-ADV-10001659,"Advantus Light Bulb, Durable",Furniture,Furnishings,6,10,146.00,16.86,0.17,11.55
FUR-ADV-10001855,"Advantus Stacking Tray, Durable",Furniture,Furnishings,4,4,89.00,12.62,0.25,14.18
FUR-ADV-10002329,"Advantus Light Bulb, Erganomic",Furniture,Furnishings,1,1,7.00,-9.53,1.00,-136.14
FUR-ADV-10002601,"Advantus Photo Frame, Erganomic",Furniture,Furnishings,5,11,497.00,200.01,0.20,40.24
FUR-ADV-10002632,"Advantus Door Stop, Duo Pack",Furniture,Furnishings,1,2,36.00,-48.71,1.00,-135.31
FUR-ADV-10002889,"Advantus Clock, Durable",Furniture,Furnishings,7,19,803.00,-61.49,0.14,-7.66
FUR-ADV-10003147,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings,5,8,186.00,57.84,0.00,31.10
FUR-ADV-10003326,"Advantus Light Bulb, Black",Furniture,Furnishings,4,4,54.00,11.59,0.50,21.46
FUR-ADV-10004159,"Advantus Frame, Durable",Furniture,Furnishings,3,5,195.00,-286.68,1.00,-147.02
FUR-ADV-10004223,"Advantus Clock, Black",Furniture,Furnishings,2,2,66.00,-6.21,0.50,-9.41
FUR-ADV-10004395,"Advantus Door Stop, Durable",Furniture,Furnishings,10,29,614.00,4.21,0.50,0.69
FUR-ADV-10004499,"Advantus Photo Frame, Durable",Furniture,Furnishings,3,5,250.00,39.90,0.00,15.96
FUR-ADV-10004718,"Advantus Light Bulb, Duo Pack",Furniture,Furnishings,5,9,124.00,-20.18,0.40,-16.27
FUR-ADV-10004971,"Advantus Door Stop, Erganomic",Furniture,Furnishings,2,9,393.00,121.77,0.00,30.98
FUR-BAR-10000560,"Barricks Round Table, with Bottom Storage",Furniture,Tables,1,2,1003.00,30.06,0.00,3.00
FUR-BAR-10000831,"Barricks Training Table, Fully Assembled",Furniture,Tables,1,1,320.00,121.50,0.00,37.97
FUR-BAR-10000946,"Barricks Computer Table, with Bottom Storage",Furniture,Tables,2,7,3360.00,134.40,0.00,4.00
FUR-BAR-10001039,"Barricks Coffee Table, Fully Assembled",Furniture,Tables,2,2,212.00,-303.02,1.00,-142.93
FUR-BAR-10002449,"Barricks Training Table, Adjustable Height",Furniture,Tables,3,23,7371.00,2358.42,0.00,32.00
FUR-BAR-10002710,"Barricks Coffee Table, Adjustable Height",Furniture,Tables,1,4,364.00,-546.73,1.00,-150.20
FUR-BAR-10003465,"Barricks Computer Table, Adjustable Height",Furniture,Tables,2,2,286.00,-551.52,1.00,-192.84
FUR-BAR-10003532,"Barricks Conference Table, Rectangular",Furniture,Tables,2,9,3076.00,-2460.81,0.50,-80.00
FUR-BAR-10003576,"Barricks Training Table, with Bottom Storage",Furniture,Tables,2,2,636.00,261.00,0.00,41.04
FUR-BAR-10004434,"Barricks Wood Table, Rectangular",Furniture,Tables,1,4,2058.00,946.68,0.00,46.00
FUR-BAR-10004553,"Barricks Training Table, Rectangular",Furniture,Tables,3,3,568.00,-293.81,0.67,-51.73
